step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
295,21219264,18880,0.008515549908783495,0.765625,0.765625,,,,,,,,,
296,21298176,18944,0.007492010405980106,0.796875,0.796875,,,,,,,,,
297,21377088,19008,0.008087747599133503,0.8125,0.8125,0.00820718239467802,0.96875,0.96875,,,,,,
298,21437568,19072,0.010105488072921233,0.8125,0.8125,,,,,,,,,
299,21523648,19136,0.007984614627954691,0.765625,0.765625,,,,,,,,,
300,21588224,19200,0.0101709732116491,0.84375,0.84375,,,,,,,,,
301,21633344,19264,0.012999421120449857,0.8125,0.8125,,,,,,,,,
302,21695360,19328,0.009624280694551249,0.890625,0.890625,,,,,,,,,
303,21762496,19392,0.008135215386376324,0.78125,0.78125,,,,,,,,,
304,21826048,19456,0.009799535800269198,0.8125,0.8125,,,,,,,,,
305,21900352,19520,0.009493557108741876,0.875,0.875,0.009270920454222207,0.96875,0.96875,,,,,,
306,21960832,19584,0.009498577538884952,0.859375,0.859375,,,,,,,,,
307,22066880,19648,0.006084283088446662,0.875,0.875,,,,,,,,,
308,22145280,19712,0.0073158542506068765,0.90625,0.90625,,,,,,,,,
309,22221632,19776,0.007741673985347712,0.875,0.875,,,,,,,,,
310,22267776,19840,0.012919555610933133,0.890625,0.890625,,,,,,,,,
311,22346688,19904,0.008605083724981382,0.859375,0.859375,,,,,,,,,
312,22430720,19968,0.006708140193502602,0.796875,0.796875,,,,,,,,,
313,22487104,20032,0.010228199801100844,0.8125,0.8125,0.00879044886666043,0.921875,0.921875,,,,,,
314,22548096,20096,0.009132035672626274,0.84375,0.84375,,,,,,,,,
315,22599360,20160,0.010793560284115615,0.796875,0.796875,,,,,,,,,
316,22697216,20224,0.006642809117911255,0.90625,0.90625,,,,,,,,,
317,22779712,20288,0.007469304683941608,0.890625,0.890625,,,,,,,,,
318,22854016,20352,0.008711289378036934,0.78125,0.78125,,,,,,,,,
319,22933440,20416,0.00753496561778865,0.78125,0.78125,,,,,,,,,
320,22999552,20480,0.0093969656272637,0.859375,0.859375,,,,,,,,,
321,23065664,20544,0.00932738232399103,0.84375,0.84375,0.008602379374455005,0.96875,0.96875,,,,,,
322,23139456,20608,0.008902894164600402,0.8125,0.8125,,,,,,,,,
323,23229632,20672,0.00717624493763844,0.796875,0.796875,,,,,,,,,
324,23273216,20736,0.012197293562280762,0.78125,0.78125,,,,,,,,,
325,23347520,20800,0.00900185258830088,0.859375,0.859375,,,,,,,,,
326,23420800,20864,0.00974394784156394,0.8125,0.8125,,,,,,,,,
327,23502272,20928,0.006445854099957894,0.921875,0.921875,,,,,,,,,
328,23575552,20992,0.0077704219181392985,0.828125,0.828125,,,,,,,,,
329,23644736,21056,0.008234469897636647,0.828125,0.828125,0.0068666162612991905,0.953125,0.953125,,,,,,
